Week,diet: (Worldwide)
11/9/2014,63
11/16/2014,61
11/23/2014,53
11/30/2014,62
12/7/2014,57
12/14/2014,52
12/21/2014,49
12/28/2014,74
1/4/2015,92
1/11/2015,85
1/18/2015,76
1/25/2015,71
2/1/2015,72
2/8/2015,68
2/15/2015,69
2/22/2015,71
3/1/2015,74
3/8/2015,72
3/15/2015,73
3/22/2015,73
3/29/2015,70
4/5/2015,74
4/12/2015,74
4/19/2015,75
4/26/2015,72
5/3/2015,72
5/10/2015,71
5/17/2015,67
5/24/2015,68
5/31/2015,70
6/7/2015,70
6/14/2015,68
6/21/2015,66
6/28/2015,66
7/5/2015,67
7/12/2015,68
7/19/2015,68
7/26/2015,68
8/2/2015,69
8/9/2015,68
8/16/2015,67
8/23/2015,64
8/30/2015,62
9/6/2015,63
9/13/2015,63
9/20/2015,62
9/27/2015,62
10/4/2015,62
10/11/2015,61
10/18/2015,61
10/25/2015,60
11/1/2015,62
11/8/2015,58
11/15/2015,57
11/22/2015,51
11/29/2015,57
12/6/2015,55
12/13/2015,51
12/20/2015,48
12/27/2015,67
1/3/2016,85
1/10/2016,75
1/17/2016,73
1/24/2016,72
1/31/2016,71
2/7/2016,68
2/14/2016,67
2/21/2016,72
2/28/2016,70
3/6/2016,71
3/13/2016,69
3/20/2016,68
3/27/2016,70
4/3/2016,72
4/10/2016,71
4/17/2016,70
4/24/2016,70
5/1/2016,69
5/8/2016,68
5/15/2016,69
5/22/2016,66
5/29/2016,66
6/5/2016,68
6/12/2016,62
6/19/2016,61
6/26/2016,61
7/3/2016,62
7/10/2016,64
7/17/2016,65
7/24/2016,65
7/31/2016,66
8/7/2016,65
8/14/2016,63
8/21/2016,64
8/28/2016,64
9/4/2016,62
9/11/2016,62
9/18/2016,63
9/25/2016,60
10/2/2016,58
10/9/2016,57
10/16/2016,59
10/23/2016,55
10/30/2016,57
11/6/2016,54
11/13/2016,59
11/20/2016,50
11/27/2016,57
12/4/2016,53
12/11/2016,51
12/18/2016,46
12/25/2016,59
1/1/2017,86
1/8/2017,78
1/15/2017,74
1/22/2017,74
1/29/2017,82
2/5/2017,87
2/12/2017,76
2/19/2017,80
2/26/2017,78
3/5/2017,76
3/12/2017,72
3/19/2017,74
3/26/2017,72
4/2/2017,70
4/9/2017,68
4/16/2017,72
4/23/2017,72
4/30/2017,72
5/7/2017,71
5/14/2017,71
5/21/2017,70
5/28/2017,69
6/4/2017,68
6/11/2017,67
6/18/2017,68
6/25/2017,70
7/2/2017,71
7/9/2017,74
7/16/2017,72
7/23/2017,72
7/30/2017,71
8/6/2017,71
8/13/2017,67
8/20/2017,65
8/27/2017,63
9/3/2017,64
9/10/2017,63
9/17/2017,66
9/24/2017,64
10/1/2017,63
10/8/2017,67
10/15/2017,65
10/22/2017,65
10/29/2017,62
11/5/2017,64
11/12/2017,62
11/19/2017,54
11/26/2017,61
12/3/2017,58
12/10/2017,56
12/17/2017,51
12/24/2017,60
12/31/2017,90
1/7/2018,89
1/14/2018,80
1/21/2018,81
1/28/2018,80
2/4/2018,77
2/11/2018,73
2/18/2018,76
2/25/2018,75
3/4/2018,75
3/11/2018,76
3/18/2018,82
3/25/2018,86
4/1/2018,86
4/8/2018,83
4/15/2018,81
4/22/2018,81
4/29/2018,82
5/6/2018,83
5/13/2018,78
5/20/2018,75
5/27/2018,75
6/3/2018,78
6/10/2018,74
6/17/2018,74
6/24/2018,74
7/1/2018,73
7/8/2018,79
7/15/2018,77
7/22/2018,79
7/29/2018,78
8/5/2018,76
8/12/2018,74
8/19/2018,70
8/26/2018,70
9/2/2018,69
9/9/2018,68
9/16/2018,70
9/23/2018,66
9/30/2018,68
10/7/2018,66
10/14/2018,66
10/21/2018,63
10/28/2018,63
11/4/2018,64
11/11/2018,64
11/18/2018,56
11/25/2018,64
12/2/2018,60
12/9/2018,59
12/16/2018,55
12/23/2018,63
12/30/2018,100
1/6/2019,97
1/13/2019,90
1/20/2019,82
1/27/2019,81
2/3/2019,80
2/10/2019,73
2/17/2019,76
2/24/2019,75
3/3/2019,77
3/10/2019,74
3/17/2019,75
3/24/2019,77
3/31/2019,86
4/7/2019,76
4/14/2019,74
4/21/2019,76
4/28/2019,76
5/5/2019,72
5/12/2019,68
5/19/2019,67
5/26/2019,65
6/2/2019,67
6/9/2019,68
6/16/2019,70
6/23/2019,68
6/30/2019,66
7/7/2019,69
7/14/2019,69
7/21/2019,69
7/28/2019,67
8/4/2019,66
8/11/2019,65
8/18/2019,67
8/25/2019,64
9/1/2019,64
9/8/2019,64
9/15/2019,63
9/22/2019,63
9/29/2019,61
10/6/2019,60
10/13/2019,60
10/20/2019,64
10/27/2019,65
